2026-04-09  13:26:53.261 | error | 3gh5nsh7124c0r | worker exited with exit code 1
2026-04-09  13:26:36.916 | error | 3gh5nsh7124c0r | worker exited with exit code 1
2026-04-09  13:26:20.526 | error | 3gh5nsh7124c0r | worker exited with exit code 1
2026-04-09  13:26:04.224 | error | 3gh5nsh7124c0r | worker exited with exit code 1
2026-04-09  13:25:47.901 | error | 3gh5nsh7124c0r | worker exited with exit code 1
2026-04-09  13:21:45.892 | error | 1qm5dyvtcxxqzt | worker exited with exit code 1
2026-04-09  13:21:28.399 | error | 1qm5dyvtcxxqzt | worker exited with exit code 1
2026-04-09  13:21:19.658 | info | 1qm5dyvtcxxqzt | RuntimeError: The NVIDIA driver on your system is too old (found version 12080). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver.\n
2026-04-09  13:21:19.658 | info | 1qm5dyvtcxxqzt |     torch._C._cuda_init()\n
2026-04-09  13:21:19.658 | info | 1qm5dyvtcxxqzt |   File "/usr/local/lib/python3.12/dist-packages/torch/cuda/__init__.py", line 478, in _lazy_init\n
2026-04-09  13:21:19.658 | info | 1qm5dyvtcxxqzt |     _lazy_init()\n
2026-04-09  13:21:19.658 | info | 1qm5dyvtcxxqzt |   File "/usr/local/lib/python3.12/dist-packages/torch/cuda/__init__.py", line 555, in cudart\n
2026-04-09  13:21:19.658 | info | 1qm5dyvtcxxqzt |            ^^^^^^^^^^^^^^^^^^^\n
2026-04-09  13:21:19.658 | info | 1qm5dyvtcxxqzt |     return torch.cuda.cudart().cudaMemGetInfo(device)\n
2026-04-09  13:21:19.658 | info | 1qm5dyvtcxxqzt |   File "/usr/local/lib/python3.12/dist-packages/torch/cuda/memory.py", line 842, in mem_get_info\n
2026-04-09  13:21:19.658 | info | 1qm5dyvtcxxqzt |                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n
2026-04-09  13:21:19.658 | info | 1qm5dyvtcxxqzt |     device_memory = torch_accelerator_module.mem_get_info(index)[0]\n
2026-04-09  13:21:19.658 | info | 1qm5dyvtcxxqzt |   File "/usr/local/lib/python3.12/dist-packages/transformers/modeling_utils.py", line 6090, in caching_allocator_warmup\n
2026-04-09  13:21:19.658 | info | 1qm5dyvtcxxqzt |     caching_allocator_warmup(model, expanded_device_map, hf_quantizer)\n
2026-04-09  13:21:19.658 | info | 1qm5dyvtcxxqzt |   File "/usr/local/lib/python3.12/dist-packages/transformers/modeling_utils.py", line 5432, in _load_pretrained_model\n
2026-04-09  13:21:19.658 | info | 1qm5dyvtcxxqzt |         ^^^^^^^^^^^^^^^^^^^^^^^^^^^\n
2026-04-09  13:21:19.657 | info | 1qm5dyvtcxxqzt |     ) = cls._load_pretrained_model(\n
